id,hash_mode,speed,accel,loops
146,WPA/WPA2,  233.2 kH/s,32,1024
147,IKE-PSK MD5, 1000.7 MH/s,128,512
148,IKE-PSK SHA1,  330.9 MH/s,128,512
149,NetNTLMv1-VANILLA / NetNTLMv1+ESS,11592.2 MH/s,256,1024
150,NetNTLMv2,  918.2 MH/s,256,1024
151,IPMI2 RAKP HMAC-SHA1,  949.8 MH/s,256,256
152,Kerberos 5 AS-REQ Pre-Auth etype 23,  153.9 MH/s,32,256
153,DNSSEC (NSEC3), 1938.1 MH/s,256,512
154,PostgreSQL Challenge-Response Authentication (MD5), 3385.7 MH/s,256,1024
155,MySQL Challenge-Response Authentication (SHA1), 1305.3 MH/s,256,1024
156,SIP digest authentication (MD5), 1091.5 MH/s,32,1024
157,SMF > v1.1, 3535.7 MH/s,256,512
158,vBulletin < v3.8.5, 3716.9 MH/s,256,1024
159,vBulletin > v3.8.5, 1748.2 MH/s,256,1024
160,"IPB2+, MyBB1.2+", 1786.8 MH/s,256,1024
161,"WBB3, Woltlab Burning Board 3",  725.1 MH/s,256,256
162,Joomla < 2.5.18,13513.3 MH/s,256,1024
163,PHPS, 3775.7 MH/s,256,1024
164,Drupal7,   33677 H/s,8,1024
165,"osCommerce, xt:Commerce", 7815.3 MH/s,256,1024
166,PrestaShop, 4748.6 MH/s,256,1024
167,Django (SHA-1), 3525.3 MH/s,256,512
168,Django (PBKDF2-SHA256),   38631 H/s,8,1024
169,Mediawiki B type, 3429.5 MH/s,256,1024
170,Redmine Project Management Web App, 1248.1 MH/s,256,1024
171,PostgreSQL,13551.8 MH/s,256,1024
172,MSSQL(2000), 4401.0 MH/s,256,512
173,MSSQL(2005), 4391.3 MH/s,256,512
174,MySQL323,33399.1 MH/s,256,512
175,MySQL4.1/MySQL5, 2129.7 MH/s,256,512
176,Oracle H: Type (Oracle 7+),  501.8 MH/s,64,512
177,Oracle S: Type (Oracle 11+), 4419.9 MH/s,256,1024
178,Oracle T: Type (Oracle 12+),   60323 H/s,8,1024
179,Sybase ASE,  157.0 MH/s,32,512
180,EPiServer 6.x < v4, 3520.2 MH/s,256,512
181,EPiServer 6.x > v4, 1571.3 MH/s,256,512
182,"md5apr1, MD5(APR), Apache MD5", 5901.7 kH/s,32,1000
183,ColdFusion 10+, 1101.8 MH/s,128,128
184,hMailServer, 1573.5 MH/s,256,512
185,"SHA-1(Base64), nsldap, Netscape LDAP SHA", 4418.6 MH/s,256,1024
186,"SSHA-1(Base64), nsldaps, Netscape LDAP SSHA", 4426.8 MH/s,256,1024
187,"SSHA-512(Base64), LDAP {SSHA512}",  595.9 MH/s,256,256
188,LM, 1744.3 MH/s,256,1024
189,NTLM,28408.9 MH/s,256,1024
190,"Domain Cached Credentials (DCC), MS Cache", 7874.1 MH/s,256,1024
191,"Domain Cached Credentials 2 (DCC2), MS Cache 2",  186.7 kH/s,16,1024
192,"descrypt, DES(Unix), Traditional DES",  120.6 MH/s,64,128
193,"BSDiCrypt, Extended DES", 1058.3 kH/s,256,1024
194,"md5crypt, MD5(Unix), FreeBSD MD5, Cisco-IOS MD5", 5963.8 kH/s,32,1000
195,"bcrypt, Blowfish(OpenBSD)",   11914 H/s,2,32
196,"sha256crypt, SHA256(Unix)",  258.0 kH/s,4,1024
197,"sha512crypt, SHA512(Unix)",   97348 H/s,8,1024
198,"OSX v10.4, v10.5, v10.6", 3537.6 MH/s,256,512
199,OSX v10.7,  551.9 MH/s,256,128
200,OSX v10.8+,    7003 H/s,2,1024
201,AIX {smd5}, 5898.7 kH/s,32,1000
202,AIX {ssha1},24701.7 kH/s,128,64
203,AIX {ssha256},10739.9 kH/s,128,64
204,AIX {ssha512}, 3679.8 kH/s,32,64
205,Cisco-PIX MD5, 9684.7 MH/s,256,1024
206,Cisco-ASA MD5, 9788.1 MH/s,256,1024
207,Cisco-IOS SHA256, 1684.1 MH/s,256,1024
208,Cisco $8$,   38793 H/s,8,1024
209,Cisco $9$,    1891 H/s,4,1
210,Juniper Netscreen/SSG (ScreenOS), 7839.9 MH/s,256,1024
211,Juniper IVE, 5946.7 kH/s,32,1000
212,Android PIN, 3440.5 kH/s,16,1024
213,Citrix NetScaler, 4074.0 MH/s,256,512
214,RACF, 1669.4 MH/s,256,1024
