id,hash_mode,speed,accel,loops,thr,vec
122,6900 - GOST R 34.11-94,1062.2 MH/s (80.65ms),8,128,1024,1
123,7000 - FortiGate (FortiOS),19432.0 MH/s (70.54ms),32,512,1024,1
124,7100 - macOS v10.8+ (PBKDF2-SHA512) (Iterations: 1023),1403.2 kH/s (47.29ms),4,255,1024,1
125,7200 - GRUB 2 (Iterations: 1023),1414.8 kH/s (39.08ms),2,511,1024,1
126,7300 - IPMI2 RAKP HMAC-SHA1,2979.4 MH/s (57.49ms),2,1024,1024,1
127,"7400 - sha256crypt $5$, SHA256 (Unix) (Iterations: 5000)",901.1 kH/s (73.43ms),8,512,1024,1
128,7401 - MySQL $A$ (sha256crypt) (Iterations: 5000),851.6 kH/s (77.82ms),8,512,1024,1
129,"7500 - Kerberos 5, etype 23, AS-REQ Pre-Auth",1461.2 MH/s (58.57ms),64,256,64,1
130,7700 - SAP CODVN B (BCODE),4514.6 MH/s (75.94ms),4,1024,1024,1
131,7701 - SAP CODVN B (BCODE) from RFC_READ_TABLE,4935.4 MH/s (69.41ms),8,512,1024,1
132,7800 - SAP CODVN F/G (PASSCODE),3888.0 MH/s (88.20ms),4,1024,1024,1
133,7801 - SAP CODVN F/G (PASSCODE) from RFC_READ_TABLE,3899.9 MH/s (87.85ms),8,512,1024,1
134,7900 - Drupal7 (Iterations: 16384),171.5 kH/s (61.02ms),4,512,1024,1
135,8000 - Sybase ASE,1294.6 MH/s (66.18ms),8,128,1024,1
136,8100 - Citrix NetScaler (SHA1),19091.9 MH/s (71.80ms),16,1024,1024,1
137,"8200 - 1Password, cloudkeychain (Iterations: 39999)",35715 H/s (60.03ms),4,256,1024,1
138,8300 - DNSSEC (NSEC3),8365.6 MH/s (81.96ms),16,512,1024,1
139,8400 - WBB3 (Woltlab Burning Board),3612.2 MH/s (94.94ms),4,1024,1024,1
140,8500 - RACF,7219.5 MH/s (94.80ms),16,512,1024,1
141,8600 - Lotus Notes/Domino 5,831.4 MH/s (51.49ms),8,64,1024,1
142,8700 - Lotus Notes/Domino 6,284.8 MH/s (75.21ms),4,64,1024,1
143,8800 - Android FDE <= 4.3 (Iterations: 1999),2317.3 kH/s (71.54ms),4,1024,1024,1
144,8900 - scrypt (Iterations: 1),2308.2 kH/s (8.64ms),16,1,16,1
145,9000 - Password Safe v2 (Iterations: 1000),2070.7 kH/s (35.31ms),128,1000,11,1
146,9100 - Lotus Notes/Domino 8 (Iterations: 4999),1860.0 kH/s (71.35ms),8,1024,1024,1
147,9200 - Cisco-IOS $8$ (PBKDF2-SHA256) (Iterations: 19999),187.2 kH/s (91.61ms),16,256,1024,1
148,9300 - Cisco-IOS $9$ (scrypt) (Iterations: 1),85331 H/s (122.39ms),16,1,8,1
149,9400 - MS Office 2007 (Iterations: 50000),375.8 kH/s (72.74ms),16,1024,1024,1
150,9500 - MS Office 2010 (Iterations: 100000),187.7 kH/s (73.12ms),32,512,1024,1
151,9600 - MS Office 2013 (Iterations: 100000),29661 H/s (57.84ms),2,1024,1024,1
152,"9700 - MS Office <= 2003 $0/$1, MD5 + RC4",1351.2 MH/s (63.39ms),128,128,64,1
153,"9710 - MS Office <= 2003 $0/$1, MD5 + RC4, collider #1",1600.8 MH/s (53.37ms),256,64,64,1
154,"9720 - MS Office <= 2003 $0/$1, MD5 + RC4, collider #2",5738.4 MH/s (59.71ms),8,512,1024,1
155,"9800 - MS Office <= 2003 $3/$4, SHA1 + RC4",1459.9 MH/s (58.68ms),128,128,64,1
156,"9810 - MS Office <= 2003 $3, SHA1 + RC4, collider #1",1570.0 MH/s (54.60ms),64,256,64,1
157,"9820 - MS Office <= 2003 $3, SHA1 + RC4, collider #2",9089.2 MH/s (75.43ms),16,512,1024,1
158,9900 - Radmin2,25115.8 MH/s (54.54ms),32,512,1024,1
159,10000 - Django (PBKDF2-SHA256) (Iterations: 9999),375.0 kH/s (89.32ms),4,1024,1024,1
160,10100 - SipHash,78969.1 MH/s (34.65ms),32,1024,1024,1
161,10200 - CRAM-MD5,11124.8 MH/s (61.60ms),8,1024,1024,1
162,10300 - SAP CODVN H (PWDSALTEDHASH) iSSHA-1 (Iterations: 1023),15288.8 kH/s (86.13ms),16,1023,1024,1
163,10400 - PDF 1.1 - 1.3 (Acrobat 2 - 4),1719.1 MH/s (49.74ms),64,256,64,1
164,"10410 - PDF 1.1 - 1.3 (Acrobat 2 - 4), collider #1",1813.3 MH/s (94.59ms),256,128,64,1
165,"10420 - PDF 1.1 - 1.3 (Acrobat 2 - 4), collider #2",21379.2 MH/s (64.11ms),16,1024,1024,1
166,10500 - PDF 1.4 - 1.6 (Acrobat 5 - 8) (Iterations: 70),76833.7 kH/s (31.71ms),512,70,64,1
167,10600 - PDF 1.7 Level 3 (Acrobat 9),9713.1 MH/s (70.57ms),8,1024,1024,1
168,10700 - PDF 1.7 Level 8 (Acrobat 10 - 11) (Iterations: 64),185.5 kH/s (112.96ms),8,2,1024,1
169,10800 - SHA2-384,2862.5 MH/s (59.84ms),4,512,1024,1
170,10900 - PBKDF2-HMAC-SHA256 (Iterations: 999),3785.4 kH/s (87.58ms),4,999,1024,1
171,10901 - RedHat 389-DS LDAP (PBKDF2-HMAC-SHA256) (Iterations: 8191),457.4 kH/s (91.48ms),8,512,1024,1
172,11000 - PrestaShop,24948.2 MH/s (54.92ms),16,1024,1024,1
173,11100 - PostgreSQL CRAM (MD5),19422.0 MH/s (70.52ms),16,1024,1024,1
174,11200 - MySQL CRAM (SHA1),5934.4 MH/s (57.73ms),4,1024,1024,1
175,11300 - Bitcoin/Litecoin wallet.dat (Iterations: 200459),14811 H/s (57.79ms),2,1024,1024,1
176,11400 - SIP digest authentication (MD5),9717.4 MH/s (70.55ms),16,512,1024,1
177,11500 - CRC32,16977.2 MH/s (40.30ms),32,256,1024,1
178,11600 - 7-Zip (Iterations: 16384),955.9 kH/s (70.30ms),4,4096,1024,1
179,"11700 - GOST R 34.11-2012 (Streebog) 256-bit, big-endian",220.3 MH/s (48.56ms),1,128,1024,1
180,"11750 - HMAC-Streebog-256 (key = $pass), big-endian",78691.0 kH/s (68.04ms),1,64,1024,1
181,"11760 - HMAC-Streebog-256 (key = $salt), big-endian",108.6 MH/s (49.26ms),1,64,1024,1
182,"11800 - GOST R 34.11-2012 (Streebog) 512-bit, big-endian",220.6 MH/s (48.50ms),4,32,1024,1
183,"11850 - HMAC-Streebog-512 (key = $pass), big-endian",68959.6 kH/s (77.67ms),1,64,1024,1
