id,hash_mode,speed,accel,loops,thr,vec
183,12600 - ColdFusion 10+,2551.9 MH/s (80.40ms),64,128,896,1
184,"12700 - Blockchain, My Wallet (Iterations: 10)",65672.1 kH/s (8.85ms),64,10,1024,1
185,12800 - MS-AzureSync PBKDF2-HMAC-SHA256 (Iterations: 99),13162.6 kH/s (66.39ms),64,99,640,1
186,12900 - Android FDE (Samsung DEK) (Iterations: 4095),416.3 kH/s (85.36ms),64,128,640,1
187,13000 - RAR5 (Iterations: 32767),51956 H/s (85.44ms),64,128,640,1
188,13100 - Kerberos 5 TGS-REP etype 23,403.2 MH/s (72.76ms),256,64,64,1
189,13200 - AxCrypt (Iterations: 10000),128.2 kH/s (90.72ms),64,64,1024,1
190,13300 - AxCrypt in-memory SHA1,10794.4 MH/s (54.31ms),64,512,640,1
191,13400 - KeePass 1 (AES/Twofish) and KeePass 2 (AES) (Iterations: 6000),183.1 kH/s (103.71ms),512,256,32,1
192,13500 - PeopleSoft PS_TOKEN,4452.4 MH/s (78.95ms),64,256,768,1
193,13600 - WinZip (Iterations: 1000),1495.4 kH/s (70.84ms),64,62,1024,1
194,13711 - VeraCrypt PBKDF2-HMAC-RIPEMD160 + XTS 512 bit (Iterations: 655331),1177 H/s (74.72ms),64,32,1024,1
195,13712 - VeraCrypt PBKDF2-HMAC-RIPEMD160 + XTS 1024 bit (Iterations: 655331),658 H/s (66.63ms),64,16,1024,1
196,13713 - VeraCrypt PBKDF2-HMAC-RIPEMD160 + XTS 1536 bit (Iterations: 655331),463 H/s (94.30ms),64,16,1024,1
197,13721 - VeraCrypt PBKDF2-HMAC-SHA512 + XTS 512 bit (Iterations: 500000),1188 H/s (96.98ms),128,32,512,1
198,13722 - VeraCrypt PBKDF2-HMAC-SHA512 + XTS 1024 bit (Iterations: 500000),606 H/s (72.03ms),64,32,384,1
199,13723 - VeraCrypt PBKDF2-HMAC-SHA512 + XTS 1536 bit (Iterations: 500000),395 H/s (55.14ms),64,16,384,1
200,13731 - VeraCrypt PBKDF2-HMAC-Whirlpool + XTS 512 bit (Iterations: 500000),101 H/s (144.50ms),32,16,512,1
201,13732 - VeraCrypt PBKDF2-HMAC-Whirlpool + XTS 1024 bit (Iterations: 500000),51 H/s (216.04ms),32,16,384,1
202,13733 - VeraCrypt PBKDF2-HMAC-Whirlpool + XTS 1536 bit (Iterations: 500000),33 H/s (162.66ms),32,8,384,1
203,13741 - VeraCrypt PBKDF2-HMAC-RIPEMD160 + XTS 512 bit + boot-mode (Iterations: 327661),2360 H/s (74.52ms),64,32,1024,1
204,13742 - VeraCrypt PBKDF2-HMAC-RIPEMD160 + XTS 1024 bit + boot-mode (Iterations: 327661),1312 H/s (66.90ms),64,16,1024,1
205,13743 - VeraCrypt PBKDF2-HMAC-RIPEMD160 + XTS 1536 bit + boot-mode (Iterations: 327661),933 H/s (47.38ms),32,16,1024,1
206,13751 - VeraCrypt PBKDF2-HMAC-SHA256 + XTS 512 bit (Iterations: 500000),1510 H/s (57.77ms),64,32,768,1
207,13752 - VeraCrypt PBKDF2-HMAC-SHA256 + XTS 1024 bit (Iterations: 500000),737 H/s (58.98ms),64,16,768,1
208,13753 - VeraCrypt PBKDF2-HMAC-SHA256 + XTS 1536 bit (Iterations: 500000),496 H/s (87.48ms),64,16,768,1
209,13761 - VeraCrypt PBKDF2-HMAC-SHA256 + XTS 512 bit + boot-mode (Iterations: 200000),3776 H/s (57.75ms),64,32,768,1
210,13762 - VeraCrypt PBKDF2-HMAC-SHA256 + XTS 1024 bit + boot-mode (Iterations: 200000),1830 H/s (59.40ms),64,16,768,1
211,13763 - VeraCrypt PBKDF2-HMAC-SHA256 + XTS 1536 bit + boot-mode (Iterations: 200000),1221 H/s (88.86ms),64,16,768,1
212,13800 - Windows Phone 8+ PIN/password,1030.9 MH/s (84.59ms),64,64,768,1
213,13900 - OpenCart,2880.4 MH/s (81.35ms),64,128,1024,1
214,"14000 - DES (PT = $salt, key = $pass)",27874.6 MH/s (67.26ms),256,1024,256,1
215,"14100 - 3DES (PT = $salt, key = $pass)",1597.1 MH/s (55.08ms),8,1024,384,1
216,14400 - sha1(CX),486.7 MH/s (60.01ms),64,32,512,1
217,14600 - LUKS (Iterations: 163044),13643 H/s (24.75ms),2,1024,1024,1
218,14700 - iTunes backup < 10.0 (Iterations: 9999),229.8 kH/s (101.11ms),64,128,1024,1
219,14800 - iTunes backup >= 10.0 (Iterations: 9999999),171 H/s (5.20ms),2,250,640,1
220,"14900 - Skip32 (PT = $salt, key = $pass)",4832.6 MH/s (3.40ms),64,256,1024,1
221,15000 - FileZilla Server >= 0.9.55,1022.1 MH/s (86.09ms),128,64,384,1
222,15100 - Juniper/NetBSD sha1crypt (Iterations: 19999),235.3 kH/s (49.42ms),64,128,1024,1
223,"15200 - Blockchain, My Wallet, V2 (Iterations: 5000)",457.2 kH/s (101.61ms),64,128,1024,1
224,15300 - DPAPI masterkey file v1 (Iterations: 23999),101.4 kH/s (95.22ms),64,128,1024,1
225,15400 - ChaCha20,5578.0 MH/s (84.09ms),64,256,1024,1
226,15500 - JKS Java Key Store Private Keys (SHA1),10931.3 MH/s (53.37ms),64,512,640,1
227,"15600 - Ethereum Wallet, PBKDF2-HMAC-SHA256 (Iterations: 262143)",6490 H/s (85.51ms),64,128,640,1
228,"15700 - Ethereum Wallet, SCRYPT (Iterations: 1)",3 H/s (8404.27ms),1,1,1,1
229,15900 - DPAPI masterkey file v2 (Iterations: 7999),56038 H/s (65.29ms),256,128,32,1
230,16000 - Tripcode,244.5 MH/s (59.94ms),32,16,1024,1
231,16100 - TACACS+,18421.2 MH/s (50.82ms),64,512,1024,1
232,16200 - Apple Secure Notes (Iterations: 19999),86194 H/s (84.48ms),64,128,640,1
233,"16300 - Ethereum Pre-Sale Wallet, PBKDF2-HMAC-SHA256 (Iterations: 1999)",839.5 kH/s (83.01ms),64,128,640,1
234,16400 - CRAM-MD5 Dovecot,29470.9 MH/s (63.70ms),64,1024,1024,1
235,16500 - JWT (JSON Web Token),499.5 MH/s (58.69ms),64,32,512,1
236,16600 - Electrum Wallet (Salt-Type 1-3),222.9 MH/s (65.79ms),32,16,1024,1
